Hugo_Symbol	Entrez_Gene_Id	TCGA-BL-A13J-11	TCGA-BT-A20N-11	TCGA-BT-A20Q-11	TCGA-BT-A20R-11	TCGA-BT-A20U-11	TCGA-BT-A20W-11	TCGA-BT-A2LA-11	TCGA-BT-A2LB-11	TCGA-CU-A0YN-11	TCGA-CU-A0YR-11	TCGA-GC-A3BM-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-GD-A3OP-11	TCGA-GD-A3OQ-11	TCGA-K4-A3WV-11	TCGA-K4-A54R-11	TCGA-K4-A5RI-11
	100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	100133144	2.5521	3.8933	5.4594	16.4583	34.4264	5.2219	11.346	38.256	4.3054	8.7471	21.0084	3.1837	0	6.0128	17.7621	40.8452	8.3088	13.7216	1.5099
UBE2Q2P2	100134869	8.5119	5.7305	10.4417	7.681	19.062	1.3534	3.4219	25.7514	1.4834	6.5471	9.6515	2.6472	5.3121	10.7337	19.364	19.138	19.5273	18.5364	14.4093
HMGB1P1	10357	117.499	103.911	148.825	100.954	162.705	128.981	118.392	124.842	180.514	131.312	127.698	145.633	95.2855	119.143	149.797	128.447	142.857	128.644	139.12
	10431	619.583	738.408	679.329	786.704	1132.56	1032.88	1158.65	1143.32	687.41	690.588	697.513	697.376	1551.79	556.22	1018.91	646.485	895.483	903.823	836.967
	136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	155060	128.342	115.486	119.258	120.697	120.93	54.7945	82.7004	91.3729	66.5702	153.529	259.332	272.886	291.501	94.4976	250.602	253.262	313.55	270.609	187.172
RNU12-2P	26823	0.7376	0	0	0.3957	0.7752	0.5479	0	0.4638	0	0	0	0	0	0	0	0.3332	0	0	0
SSX9P	280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3987	0	0	0	0	0
	317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZHIP	340602	0.7376	0	0	0.7915	0.7752	2.7397	4.2194	0	2.8944	0	0	1.1662	2.656	1.9936	0	0	0.5252	0	1.9296
EFCAB8	388795	0.7376	0	0	0.7915	0.7752	0.5479	0	0.4638	0.7236	0.5882	1.2775	6.9971	3.3201	1.9936	2.0626	1.333	1.5756	4.1816	2.8944
SRP14P1	390284	1.4752	3.4996	5.3004	5.1444	6.9767	3.8356	3.7975	6.0297	1.4472	7.6471	11.4975	11.0787	0.664	21.1324	7.9065	5.3318	9.979	4.779	4.3416
	391343	0	0	0	0	0	0	0	0	0	0	0	0	0.664	3.1898	0	0	0	0	0
TRIM75P	391714	0	0	0	0	0.7752	0	0.4219	0	0	0	0	0	0	0	0	0.3332	0	0	0
SPATA31B1P	404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REXO1L6P	441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDR16C6P	442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	553137	0	0	0	0	0.7752	0	0.8439	0.9276	0	0	0	0	0	0	0.6875	0.9997	0.5252	5.9737	0
	57714	456.574	401.575	350.707	463.791	193.023	461.918	108.439	169.759	426.194	301.765	269.552	182.507	93.6255	263.955	396.012	581.503	163.865	295.699	223.834
	645851	2.2128	0.8749	0	3.1658	10.0775	7.6712	0.8439	2.3191	2.8944	6.4706	13.4137	5.8309	8.6321	5.1834	10.3128	17.6617	15.7563	23.2975	4.3416
	652919	42.6185	26.0542	35.2562	79.7388	0	2.1918	0	0.9137	25.3256	0	10.8459	5.2187	0	12.3006	50.2441	30.5714	0	0	0
HSPB1P1	653553	1278.26	2159.23	1708.48	1125.84	6722.48	642.74	2027.43	4007.42	1062.95	968.823	884.666	953.936	1636.79	2061.8	1927.12	639.82	1028.89	358.423	790.174
PPBPP1	728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD20A20P	728788	2.2128	4.3745	0	0.7915	2.3256	1.0959	0.4219	1.3915	0.7236	0	0.6387	1.7493	0	0	1.0313	0	1.0504	0	0.4824
	729884	0	0	0	0	8806.2	76.7123	1173.84	19086.3	4.3415	28.2353	751.807	4.0816	3.3201	23.5247	2336.54	1122.02	123.95	983.274	26.5321
GTPBP6	8225	553.199	640.42	641.343	557.578	690.698	467.945	1074.68	608.998	523.155	522.353	845.702	527.697	1782.87	526.316	660.021	686.474	997.899	831.541	854.816
EFCAB12	90288	1.4752	0.8749	0.8834	1.1872	0.7752	2.7397	2.1097	0.9276	0.7236	1.7647	1.9162	2.9155	14.6082	1.9936	1.0313	2.3327	0.5252	1.7921	5.3064
A1BG	1	19.9152	13.9983	3.5336	22.9086	31.7829	35.8685	28.27	40.7699	14.4718	27.0588	27.0829	45.1662	379.774	54.5335	21.6638	25.0463	44.3067	10.7527	135.015
A1CF	29974	0	0	0	0.3957	0	0	0	0	0	0	0	0	0	1.1962	0	0.3332	0	0	0
A2BP1	54715	0	0	0	0.3957	0	10.411	8.0169	1.3915	0.7236	1.7647	31.9374	0	1.328	3.1898	0.3438	15.329	14.1807	13.1422	3.3768
A2LD1	87769	41.2539	54.8469	55.2739	54.5548	60.155	63.5178	52.4684	74.9165	91.1577	40.7941	78.4255	57.621	89.0239	147.843	77.4905	129.974	70.1418	33.8232	80.6045
A2M	2	35276.1	54673.6	31100.6	59156.5	27120.1	173726	27797.4	30808.4	59332.7	56159.2	60484.8	38265	46328.8	20249.5	17636.9	37817	8306.13	34322.6	82397.9
A2ML1	144568	0.7376	0	0	1.1872	35975.2	38.3562	43.4599	30820.5	0.7236	4.1176	10.22	243.149	100.93	157.496	1769.34	412.884	26.7857	75.8662	7.236
A4GALT	53947	744.975	1314.96	1060.07	2015.43	1805.43	969.863	3233.76	1303.8	1021.71	1246.47	1237.26	1145.77	1771.58	1338.92	2089.38	1089.36	1518.38	1409.2	1714.46
A4GNT	51146	0	0	0	0	0	0	0	0.4638	0.7236	0.5882	1.2775	3.4985	0	0	0	1.333	1.0504	1.1947	0
AAA1	404744	0	0	0	0	0	0.5479	0	0	0	0.5882	0.6387	0	0	0.3987	0	0.3332	0	0	0
AAAS	8086	486.078	419.073	601.59	450.732	660.465	677.26	622.363	574.675	638.929	669.412	630.444	663.557	806.109	574.561	680.99	580.17	711.135	556.75	550.421
AACS	65985	388.715	343.832	307.421	318.955	1399.22	562.74	519.409	865.492	486.975	396.471	404.327	362.099	620.85	605.263	335.854	506.858	575.105	431.9	359.389
AACSL	729522	0	0	0	0	21.7054	0	0	1.3915	0	0	0.6387	0	0.664	0	0	0.6665	0	0	0
AADAC	13	16.2272	9.6238	1.7668	1.9786	1090.7	70.137	7.173	22.2635	19.5369	1.1765	84.3147	4.0816	387.118	224.482	5.1564	141.96	1.5756	63.9188	9.1656
AADACL2	344752	29.504	4.3745	7.9505	3.5615	199.225	5.4795	0.4219	5.5659	7.9595	5.8824	2.555	4.0816	0	51.0367	0.6875	5.9983	0	3.5842	10.1304
AADACL3	126767	0	0	0	0	0	0.5479	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	343066	0	0	1.7668	0.7915	0.7752	4.3836	0	0	5.7887	5.8824	0	4.6647	1.328	0	0.6875	1.333	0	0	0.9648
AADAT	51166	148.257	134.733	145.76	182.034	21.7054	126.027	154.43	31.5399	82.4891	131.765	147.551	169.679	59.0969	137.958	90.7528	222.271	148.109	84.8268	111.435
AAGAB	79719	597.455	735.783	756.184	635.14	1087.6	1015.34	1297.47	1251.86	693.922	679.412	857.2	650.146	1171.98	1507.97	1235.82	1075.03	1339.29	1003.58	917.529
AAK1	22848	1029.69	915.136	1047.7	799.763	793.798	999.452	1163.29	878.015	1203.33	932.941	1067.99	828.571	970.784	926.635	1010.66	1439.6	1038.34	1014.34	849.028
AAMP	14	2278.44	2303.59	2469.96	2850.81	3174.42	2346.85	4027.85	2877.09	1957.31	2732.35	2893.53	2587.76	2934.93	2605.26	3797.87	2537.62	3667.02	3046	3009.22
AANAT	15	1.4752	0	0	0	0	0	0	0	0	0	0.6387	2.3324	5.3121	1.1962	0.6875	0	0	1.1947	1.9296
AARS	16	3690.21	3432.2	4187.28	3172.14	2254.26	2587.95	2214.35	1332.56	3293.78	3732.35	1863.87	2718.37	2139.44	2106.46	2029.22	2335.68	1986.87	1408.6	1851.94
AARS2	57505	282.5	342.931	257.067	226.355	664.271	358.904	371.308	546.846	307.518	361.176	436.891	366.764	342.63	420.243	530.756	515.519	571.392	351.255	316.446
AARSD1	80755	902.821	1007.87	1219.96	910.566	712.403	647.123	718.144	563.08	1084.66	952.353	546.768	773.761	1217.8	547.448	397.731	621.825	735.294	493.429	628.087
AASDH	132949	205.053	272.966	210.247	194.302	199.225	243.288	205.907	179.963	196.093	247.059	309.154	300.291	177.955	352.871	338.261	410.551	318.803	154.719	173.182
