Hugo_Symbol	Entrez_Gene_Id	TCGA-BL-A13J-11	TCGA-BT-A20N-11	TCGA-BT-A20Q-11	TCGA-BT-A20R-11	TCGA-BT-A20U-11	TCGA-BT-A20W-11	TCGA-BT-A2LA-11	TCGA-BT-A2LB-11	TCGA-CU-A0YN-11	TCGA-CU-A0YR-11	TCGA-GC-A3BM-11	TCGA-GC-A3WC-11	TCGA-GC-A6I3-11	TCGA-GD-A2C5-11	TCGA-GD-A3OP-11	TCGA-GD-A3OQ-11	TCGA-K4-A3WV-11	TCGA-K4-A54R-11	TCGA-K4-A5RI-11
	100130426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	100133144	-1.299	-0.9102	-0.5733	0.6334	1.4922	-0.6187	0.2129	1.6168	-0.8121	-0.0739	0.9145	-1.1004	-2.8373	-0.4735	0.7208	1.6943	-0.1298	0.4265	-1.7205
UBE2Q2P2	100134869	-0.0167	-0.4981	0.2404	-0.1439	1.022	-1.9606	-1.0828	1.4225	-1.8858	-0.3387	0.1408	-1.3509	-0.5874	0.2755	1.0428	1.0273	1.0539	0.985	0.6548
HMGB1P1	10357	-0.6341	-1.4209	0.8813	-1.6057	1.4536	-0.0366	-0.5856	-0.2457	2.1208	0.0782	-0.1007	0.7421	-1.9752	-0.5451	0.923	-0.0632	0.6187	-0.0534	0.4486
	10431	-1.1485	-0.4776	-0.7965	-0.2352	1.1587	0.8062	1.2459	1.1949	-0.7512	-0.7336	-0.6954	-0.6962	2.3638	-1.5609	0.7541	-0.9859	0.2601	0.2956	0.0016
	136542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	155060	-0.2938	-0.4934	-0.4327	-0.41	-0.4064	-1.897	-1.1237	-0.9357	-1.5319	0.0454	1.04	1.1368	1.2622	-0.8723	0.975	0.995	1.4007	1.1209	0.421
RNU12-2P	26823	1.1759	-4.0238	-4.0238	-0.8861	1.3774	0.0879	-4.0238	-0.4378	-4.0238	-4.0238	-4.0238	-4.0238	-4.0238	-4.0238	-4.0238	-1.3173	-4.0238	-4.0238	-4.0238
SSX9P	280660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	317712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EZHIP	340602	-1.072	-2.4806	-2.4806	-0.9942	-1.0175	0.882	1.7319	-2.4806	0.9854	-2.4806	-2.4806	-0.51	0.8243	0.3147	-2.4806	-2.4806	-1.4044	-2.4806	0.2596
EFCAB8	388795	-0.7911	-1.9425	-1.9425	-0.7274	-0.7465	-1.032	-1.9425	-1.1484	-0.8079	-0.9784	-0.2272	2.3903	1.107	0.3426	0.3901	-0.177	0.0292	1.4859	0.8908
SRP14P1	390284	-1.533	-0.5411	0.0175	-0.0241	0.4091	-0.4216	-0.4347	0.1993	-1.5519	0.543	1.1543	1.0977	-2.1921	2.1028	0.5921	0.0258	0.9393	-0.1258	-0.2564
